Geneid	SRR14612091_myofibroblast_male
ENSSSCG00000004645	105
ENSSSCG00000004646	0
ENSSSCG00000004647	184
ENSSSCG00000004648	15
ENSSSCG00000004649	139
ENSSSCG00000004650	102
ENSSSCG00000004651	182
ENSSSCG00000004652	386
ENSSSCG00000004653	1426
ENSSSCG00000004654	55
ENSSSCG00000004655	0
ENSSSCG00000004656	208
ENSSSCG00000004657	90
ENSSSCG00000004658	70986
ENSSSCG00000004659	8
ENSSSCG00000004660	0
ENSSSCG00000004661	278
ENSSSCG00000004662	91
ENSSSCG00000004663	61
ENSSSCG00000019772	0
ENSSSCG00000020376	0
ENSSSCG00000004664	0
ENSSSCG00000004665	1696
ENSSSCG00000004666	348
ENSSSCG00000004667	55
ENSSSCG00000004668	122
ENSSSCG00000004669	92
ENSSSCG00000004670	1
ENSSSCG00000018328	0
ENSSSCG00000004671	59
ENSSSCG00000004672	67
ENSSSCG00000004673	0
ENSSSCG00000004674	31
ENSSSCG00000004675	0
ENSSSCG00000004676	0
ENSSSCG00000004677	0
ENSSSCG00000004678	0
ENSSSCG00000019275	0
ENSSSCG00000004679	26
ENSSSCG00000004680	0
ENSSSCG00000004681	0
ENSSSCG00000004682	1170
ENSSSCG00000004683	0
ENSSSCG00000004684	368
ENSSSCG00000004685	244
ENSSSCG00000004686	105
ENSSSCG00000004687	1253
ENSSSCG00000004688	0
ENSSSCG00000004689	307
ENSSSCG00000004690	170
ENSSSCG00000004691	295
ENSSSCG00000004692	110
ENSSSCG00000004693	93
ENSSSCG00000004694	7
ENSSSCG00000004695	91
ENSSSCG00000004696	545
ENSSSCG00000004697	273
ENSSSCG00000004698	79
ENSSSCG00000018734	595
ENSSSCG00000004699	7
ENSSSCG00000004700	13775
ENSSSCG00000018230	0
ENSSSCG00000004701	129
ENSSSCG00000019464	0
ENSSSCG00000004702	0
ENSSSCG00000004703	0
ENSSSCG00000004704	83
ENSSSCG00000004705	4169
ENSSSCG00000020607	0
ENSSSCG00000004706	527
ENSSSCG00000020229	0
ENSSSCG00000004707	297
ENSSSCG00000004708	224
ENSSSCG00000004709	170
ENSSSCG00000004710	71
ENSSSCG00000004711	69
ENSSSCG00000004712	0
ENSSSCG00000004713	19
ENSSSCG00000004714	0
ENSSSCG00000004715	160
ENSSSCG00000004716	26
ENSSSCG00000004717	460
ENSSSCG00000004718	220
ENSSSCG00000004719	72
ENSSSCG00000004720	86
ENSSSCG00000004721	30
ENSSSCG00000004722	46
ENSSSCG00000004723	27
ENSSSCG00000004724	174
ENSSSCG00000004725	1762
ENSSSCG00000004726	209
ENSSSCG00000004727	427
ENSSSCG00000004728	1
ENSSSCG00000004729	7
ENSSSCG00000004730	472
ENSSSCG00000004731	570
ENSSSCG00000004732	0
ENSSSCG00000004733	0
ENSSSCG00000004734	0
ENSSSCG00000004735	308
ENSSSCG00000004736	2
ENSSSCG00000004737	16
ENSSSCG00000004738	143
ENSSSCG00000004739	630
ENSSSCG00000004740	88
ENSSSCG00000004741	16
ENSSSCG00000004742	61
ENSSSCG00000018507	0
ENSSSCG00000004743	0
ENSSSCG00000004744	327
ENSSSCG00000004745	179
ENSSSCG00000004746	0
ENSSSCG00000004747	532
ENSSSCG00000019929	0
ENSSSCG00000019236	0
ENSSSCG00000004748	109
ENSSSCG00000004749	204
ENSSSCG00000004750	69
ENSSSCG00000004751	1781
ENSSSCG00000004752	14
ENSSSCG00000004753	381
ENSSSCG00000020005	0
ENSSSCG00000004754	408
ENSSSCG00000004755	2
ENSSSCG00000019390	0
ENSSSCG00000004756	42
ENSSSCG00000004757	410
ENSSSCG00000004758	0
ENSSSCG00000004759	2
ENSSSCG00000004760	0
ENSSSCG00000004761	36
ENSSSCG00000004762	34
ENSSSCG00000004763	3
ENSSSCG00000004764	45
ENSSSCG00000004765	49
ENSSSCG00000004766	44
ENSSSCG00000004767	34
ENSSSCG00000004768	35
ENSSSCG00000004769	37
ENSSSCG00000004770	8
ENSSSCG00000019979	0
ENSSSCG00000004771	230
ENSSSCG00000004772	301
ENSSSCG00000004773	0
ENSSSCG00000004774	79
ENSSSCG00000004775	52
ENSSSCG00000004776	8
ENSSSCG00000004777	107
ENSSSCG00000004778	7
ENSSSCG00000004779	0
ENSSSCG00000004780	84
ENSSSCG00000004781	0
ENSSSCG00000004782	158
ENSSSCG00000004783	0
ENSSSCG00000004784	106
ENSSSCG00000004785	905
ENSSSCG00000004786	267
ENSSSCG00000004787	82
ENSSSCG00000004788	3
ENSSSCG00000018837	0
ENSSSCG00000004789	453180
ENSSSCG00000004791	2
ENSSSCG00000004792	372
ENSSSCG00000004793	462
ENSSSCG00000004794	0
ENSSSCG00000018872	0
ENSSSCG00000019801	0
ENSSSCG00000004795	55
ENSSSCG00000004796	0
ENSSSCG00000018908	0
ENSSSCG00000004797	0
ENSSSCG00000019291	0
ENSSSCG00000018160	0
ENSSSCG00000019005	0
ENSSSCG00000004798	30
ENSSSCG00000004799	30
ENSSSCG00000004800	986
ENSSSCG00000004801	618
ENSSSCG00000004802	361
ENSSSCG00000004803	6037
ENSSSCG00000004804	5711
ENSSSCG00000004805	0
ENSSSCG00000004806	415
ENSSSCG00000004807	0
ENSSSCG00000004808	8
ENSSSCG00000004809	20
ENSSSCG00000004810	0
ENSSSCG00000004811	0
