Geneid	SRR14612087_fibroblast_male
ENSSSCG00000004744	425
ENSSSCG00000004745	323
ENSSSCG00000004746	1
ENSSSCG00000004747	762
ENSSSCG00000019929	0
ENSSSCG00000019236	0
ENSSSCG00000004748	176
ENSSSCG00000004749	193
ENSSSCG00000004750	112
ENSSSCG00000004751	1710
ENSSSCG00000004752	24
ENSSSCG00000004753	498
ENSSSCG00000020005	0
ENSSSCG00000004754	521
ENSSSCG00000004755	0
ENSSSCG00000019390	0
ENSSSCG00000004756	39
ENSSSCG00000004757	554
ENSSSCG00000004758	0
ENSSSCG00000004759	5
ENSSSCG00000004760	0
ENSSSCG00000004761	53
ENSSSCG00000004762	32
ENSSSCG00000004763	4
ENSSSCG00000004764	75
ENSSSCG00000004765	82
ENSSSCG00000004766	34
ENSSSCG00000004767	84
ENSSSCG00000004768	33
ENSSSCG00000004769	15
ENSSSCG00000004770	10
ENSSSCG00000019979	0
ENSSSCG00000004771	558
ENSSSCG00000004772	434
ENSSSCG00000004773	0
ENSSSCG00000004774	99
ENSSSCG00000004775	49
ENSSSCG00000004776	12
ENSSSCG00000004777	80
ENSSSCG00000004778	5
ENSSSCG00000004779	0
ENSSSCG00000004780	80
ENSSSCG00000004781	0
ENSSSCG00000004782	96
ENSSSCG00000004783	1
ENSSSCG00000004784	137
ENSSSCG00000004785	916
ENSSSCG00000004786	416
ENSSSCG00000004787	129
ENSSSCG00000004788	7
ENSSSCG00000018837	0
ENSSSCG00000004789	355195
ENSSSCG00000004791	6
ENSSSCG00000004792	478
ENSSSCG00000004793	554
ENSSSCG00000004794	0
ENSSSCG00000018872	0
ENSSSCG00000019801	0
ENSSSCG00000004795	159
ENSSSCG00000004796	0
ENSSSCG00000018908	0
ENSSSCG00000004797	0
ENSSSCG00000019291	0
ENSSSCG00000018160	0
ENSSSCG00000019005	0
ENSSSCG00000004798	30
ENSSSCG00000004799	73
ENSSSCG00000004800	1341
ENSSSCG00000004801	861
ENSSSCG00000004802	533
ENSSSCG00000004803	2765
ENSSSCG00000004804	2770
ENSSSCG00000004805	0
ENSSSCG00000004806	227
ENSSSCG00000004807	6
ENSSSCG00000004808	2
ENSSSCG00000004809	47
ENSSSCG00000004810	0
ENSSSCG00000004811	0
ENSSSCG00000004812	1985
ENSSSCG00000004813	85
ENSSSCG00000004814	932
ENSSSCG00000004815	1566
ENSSSCG00000004816	29
ENSSSCG00000018345	0
ENSSSCG00000004817	90
ENSSSCG00000004818	24
ENSSSCG00000019757	0
ENSSSCG00000004819	0
ENSSSCG00000004820	150
ENSSSCG00000004821	130
ENSSSCG00000004822	637
ENSSSCG00000019106	2
ENSSSCG00000018227	0
ENSSSCG00000004823	554
ENSSSCG00000004824	383
ENSSSCG00000004825	2263
ENSSSCG00000004826	1173
ENSSSCG00000018906	0
ENSSSCG00000019280	0
ENSSSCG00000018975	0
ENSSSCG00000004827	0
ENSSSCG00000004828	0
ENSSSCG00000004829	129
ENSSSCG00000004830	811
ENSSSCG00000004831	3
ENSSSCG00000004832	1306
ENSSSCG00000019388	0
ENSSSCG00000019409	0
ENSSSCG00000019878	0
ENSSSCG00000019155	0
ENSSSCG00000020399	0
ENSSSCG00000018361	0
ENSSSCG00000019818	0
ENSSSCG00000018174	0
ENSSSCG00000018351	0
ENSSSCG00000020442	0
ENSSSCG00000020119	0
ENSSSCG00000018141	0
ENSSSCG00000004833	710
ENSSSCG00000019192	0
ENSSSCG00000004834	499
ENSSSCG00000004835	84
ENSSSCG00000004836	0
ENSSSCG00000004838	77
ENSSSCG00000004839	0
ENSSSCG00000019568	0
ENSSSCG00000004840	11
ENSSSCG00000004841	83
ENSSSCG00000004842	524
ENSSSCG00000004843	1
ENSSSCG00000019509	0
ENSSSCG00000004844	640
ENSSSCG00000004845	527
ENSSSCG00000004846	165
ENSSSCG00000004847	378
ENSSSCG00000004848	154
ENSSSCG00000004849	0
ENSSSCG00000004850	0
ENSSSCG00000004851	0
ENSSSCG00000004852	148
ENSSSCG00000004853	392
ENSSSCG00000004854	2814
ENSSSCG00000004855	390
ENSSSCG00000004856	324
ENSSSCG00000004857	119
ENSSSCG00000004858	398
ENSSSCG00000004859	523
ENSSSCG00000019804	0
ENSSSCG00000004860	62
